DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150549,457,457,1,4.03,4.03,4.03,8.8181,8.8181,8.8181
59150550,641,641,1,4.03,4.03,4.03,6.2869,6.2869,6.2869
59150551,476,476,1,4.03,4.03,4.03,8.4661,8.4661,8.4661
59150552,437,437,0,0.0,0.0,0.0,0.0,0.0,0.0
59150553,551,551,0,0.0,0.0,0.0,0.0,0.0,0.0
59150554,483,483,0,0.0,0.0,0.0,0.0,0.0,0.0
59150555,610,610,1,3.0,3.0,3.0,4.9135,4.9135,4.9135
59150556,865,865,2,4.53,4.53,4.53,5.2338,5.2338,5.2338
59150557,602,602,0,0.0,0.0,0.0,0.0,0.0,0.0
59150558,544,544,1,1.53,1.53,1.53,2.8125,2.8125,2.8125
59150559,611,611,2,5.74,5.74,5.74,9.3916,9.3916,9.3916
59150560,562,562,3,3.28,3.28,3.28,5.8306,5.8306,5.8306
59150561,527,527,2,4.46,4.46,4.46,8.4621,8.4621,8.4621
59150562,544,544,1,1.5,1.5,1.5,2.7492,2.7492,2.7492
59150563,661,661,2,3.03,3.03,3.03,4.5772,4.5772,4.5772
59150564,647,647,2,3.03,3.03,3.03,4.6763,4.6763,4.6763
59150565,511,511,1,1.5,1.5,1.5,2.9267,2.9267,2.9267
59150566,563,563,0,0.0,0.0,0.0,0.0,0.0,0.0
59150567,517,517,1,0.92,0.92,0.92,1.7797,1.7797,1.7797
59150568,643,643,2,3.92,3.92,3.92,6.0923,6.0923,6.0923
59150569,864,864,2,4.53,4.53,4.53,5.2398,5.2398,5.2398
59150570,488,488,3,6.02,6.02,6.02,12.3417,12.3417,12.3417
59150571,568,568,2,10.69,10.69,10.69,18.8196,18.8196,18.8196
59150572,337,337,3,11.51,11.51,11.51,34.1447,34.1447,34.1447
59150573,1310,1310,2,8.61,8.61,8.61,6.5744,6.5744,6.5744
59150575,563,563,3,12.0,12.0,12.0,21.3125,21.3125,21.3125
59150577,811,811,1,1.41,1.41,1.41,1.7414,1.7414,1.7414
59150578,504,504,2,6.28,6.28,6.28,12.4542,12.4542,12.4542
59150579,405,405,2,6.28,6.28,6.28,15.4986,15.4986,15.4986
59150580,506,506,1,4.86,4.86,4.86,9.614,9.614,9.614
59150581,390,390,1,4.86,4.86,4.86,12.4735,12.4735,12.4735
59150582,537,537,0,0.0,0.0,0.0,0.0,0.0,0.0
59150583,593,593,2,1.18,1.18,1.18,1.9972,1.9972,1.9972
59150584,604,604,3,7.18,7.18,7.18,11.892,11.892,11.892
