park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_87,Vancouver,Marpole Park,0.2696471659896872,ChIJaUl9s-t0hlQRgz7XB6izdek,exact,,['ChIJaUl9s-t0hlQRgz7XB6izdek'],True,False
Vancouver_88,Vancouver,Ebisu Park,0.4209045465718337,ChIJKRZjqO50hlQRFUt8m76rzKw,exact,,['ChIJKRZjqO50hlQRFUt8m76rzKw'],True,False
Vancouver_89,Vancouver,William Mackie Park,0.4088436410218878,ChIJt8HMwOp0hlQRoABp_Ffp65Q,exact,,['ChIJt8HMwOp0hlQRoABp_Ffp65Q'],True,False
Vancouver_90,Vancouver,Eburne Park,0.9008658787533704,ChIJi1Mbee50hlQRKK0mG1GDtUc,exact,,['ChIJi1Mbee50hlQRKK0mG1GDtUc'],True,False
Vancouver_91,Vancouver,Ash Park,0.5135351908077846,ChIJmfKAD_R0hlQR2etVxiSVvu8,exact,,['ChIJmfKAD_R0hlQR2etVxiSVvu8'],True,False
Vancouver_92,Vancouver,Shannon Park,0.943705706788886,ChIJK86qDpF0hlQRY2FkPtkYryw,exact,,['ChIJK86qDpF0hlQRY2FkPtkYryw'],True,False
Vancouver_93,Vancouver,Oak Park,5.266789260162897,ChIJM_hBYox0hlQRcujRUfx1r24,exact,,['ChIJM_hBYox0hlQRcujRUfx1r24'],True,False
Vancouver_94,Vancouver,Winona Park,5.32670002426377,ChIJC5SWvl90hlQRB89ZpxoUHI4,exact,,['ChIJC5SWvl90hlQRB89ZpxoUHI4'],True,False
Vancouver_95,Vancouver,Fraser River Park,9.070290784799784,ChIJi06rTb50hlQRBFFBzgkGIBM,exact,,['ChIJi06rTb50hlQRBFFBzgkGIBM'],True,False
Vancouver_96,Vancouver,Riverview Park,2.3844258541140406,ChIJLWJQgpZ0hlQR7ZOtwMe5urQ,exact,,['ChIJLWJQgpZ0hlQR7ZOtwMe5urQ'],True,False
Vancouver_97,Vancouver,Arbutus Park,0.7399464288958901,ChIJz4_4Rph0hlQR-dUPngR--es,exact,,['ChIJz4_4Rph0hlQR-dUPngR--es'],True,False
Vancouver_98,Vancouver,Deering Island Park,0.6383976311579238,ChIJ2YWjyVdzhlQRbrb5QTvwKQs,exact,,['ChIJ2YWjyVdzhlQRbrb5QTvwKQs'],True,False
Vancouver_99,Vancouver,Maple Grove Park,4.208258995151404,ChIJ8aj4P550hlQRjTZU5Nstqok,exact,,['ChIJ8aj4P550hlQRjTZU5Nstqok'],True,False
Vancouver_100,Vancouver,McCleery Park,0.2512430424817359,ChIJK9gkC2FzhlQRXlcBrT9bETA,exact,,['ChIJK9gkC2FzhlQRXlcBrT9bETA'],True,False
Vancouver_101,Vancouver,Musqueam Park,23.765774741392363,ChIJF0eHNERzhlQRvbsIL32Zi6I,exact,,['ChIJF0eHNERzhlQRvbsIL32Zi6I'],True,False
Vancouver_102,Vancouver,Malkin Park,2.4284729881443776,ChIJz07OE2hzhlQRIlnM7UC9NLg,exact,,['ChIJz07OE2hzhlQRIlnM7UC9NLg'],True,False
Vancouver_103,Vancouver,Kerrisdale Centennial Park,1.5300032464374087,ChIJMbvsBntzhlQRBbPTAp4qVpY,exact,,['ChIJMbvsBntzhlQRBbPTAp4qVpY'],True,False
Vancouver_104,Vancouver,Cambie Park,0.9349552736341832,ChIJp0x5YWF0hlQRYMKUL3U2BcE,exact,,['ChIJp0x5YWF0hlQRYMKUL3U2BcE'],True,False
Vancouver_105,Vancouver,Langara Park,1.2144211866921284,ChIJZzh7dhB1hlQRSlV-04fDXD0,fuzzy,Unclear if includes golf course and perimeter trail,['ChIJZzh7dhB1hlQRSlV-04fDXD0'],False,True
Vancouver_106,Vancouver,Tisdall Park,5.03617000240216,ChIJG6h0OXt0hlQRY4B37Wd5hPs,exact,,['ChIJG6h0OXt0hlQRY4B37Wd5hPs'],True,False
Vancouver_107,Vancouver,Montgomery Park,4.029881754480023,ChIJg7fz5n50hlQRo9GXpVhSDlM,exact,,['ChIJg7fz5n50hlQRo9GXpVhSDlM'],True,False
Vancouver_108,Vancouver,Columbia Park,2.7891455857579426,ChIJM302BHF0hlQRqFOUt6e8n90,exact,,['ChIJM302BHF0hlQRqFOUt6e8n90'],True,False
Vancouver_109,Vancouver,Oak Meadows Park,4.739711729851576,ChIJafAXZYhzhlQRZ1X6Zx94FeU,exact,,['ChIJafAXZYhzhlQRZ1X6Zx94FeU'],True,False
Vancouver_110,Vancouver,Vandusen Botanical Garden,22.36141285031952,ChIJwW3HeIZzhlQRVxJgWI8VjAg,manual,,['ChIJwW3HeIZzhlQRVxJgWI8VjAg'],False,True
Vancouver_111,Vancouver,Queen Elizabeth Park,53.28454134129558,ChIJIcZrTvVzhlQRiKTnD03vt7Q,manual,,['ChIJIcZrTvVzhlQRiKTnD03vt7Q'],False,True
Vancouver_112,Vancouver,Devonshire Park,1.5286016804984024,ChIJ4eZqHpBzhlQRbF5hkWtQPN8,exact,,['ChIJ4eZqHpBzhlQRbF5hkWtQPN8'],True,False
Vancouver_113,Vancouver,Elm Park,1.495538521680449,ChIJk1uxP2VzhlQRi5nrQ102bFA,exact,,['ChIJk1uxP2VzhlQRi5nrQ102bFA'],True,False
Vancouver_114,Vancouver,Kerrisdale Park,2.9972151268110285,ChIJuZnNIHpzhlQRH-rkHfIn4bI,exact,,['ChIJuZnNIHpzhlQRH-rkHfIn4bI'],True,False
