DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150624,2.0,596.0,596.0,596.0,1.0,1.0
59150625,2.0,608.0,608.0,608.0,1.0,1.0
59150626,2.0,605.0,605.0,605.0,1.0,1.0
59150627,6.0,524.0,524.0,524.0,1.0,1.0
59150628,4.0,770.0,770.0,770.0,1.0,1.0
59150629,3.0,605.0,605.0,605.0,1.0,1.0
59150633,3.0,663.0,435.0,663.0,0.6561085972850679,1.0
59150634,2.0,540.0,540.0,540.0,1.0,1.0
59150635,2.0,583.0,583.0,583.0,1.0,1.0
59150636,2.0,677.0,677.0,677.0,1.0,1.0
59150637,4.0,578.0,578.0,578.0,1.0,1.0
59150638,3.0,660.0,660.0,660.0,1.0,1.0
59150639,2.0,517.0,517.0,517.0,1.0,1.0
59150640,2.0,436.0,436.0,436.0,1.0,1.0
59150641,2.0,642.0,0.0,642.0,0.0,1.0
59150642,2.0,610.0,0.0,610.0,0.0,1.0
59150643,2.0,601.0,0.0,601.0,0.0,1.0
59150644,2.0,598.0,0.0,598.0,0.0,1.0
59150645,4.0,454.0,94.0,454.0,0.20704845814977973,1.0
59150646,2.0,643.0,0.0,643.0,0.0,1.0
59150647,2.0,594.0,0.0,594.0,0.0,1.0
59150648,1.0,390.0,0.0,390.0,0.0,1.0
59150649,7.0,663.0,265.0,663.0,0.3996983408748115,1.0
59150650,2.0,459.0,273.0,459.0,0.5947712418300654,1.0
59150651,2.0,421.0,250.0,421.0,0.5938242280285035,1.0
59150652,3.0,698.0,448.0,698.0,0.6418338108882522,1.0
59150653,3.0,482.0,482.0,482.0,1.0,1.0
59150654,3.0,592.0,292.0,592.0,0.49324324324324326,1.0
59150655,3.0,491.0,491.0,491.0,1.0,1.0
59150656,3.0,494.0,0.0,494.0,0.0,1.0
59150657,11.0,511.0,366.0,511.0,0.7162426614481409,1.0
59150658,6.0,659.0,659.0,659.0,1.0,1.0
59150659,11.0,619.0,238.0,619.0,0.38449111470113084,1.0
59150660,12.0,488.0,114.0,488.0,0.2336065573770492,1.0
59150661,12.0,489.0,443.0,489.0,0.9059304703476483,1.0
59150662,11.0,414.0,0.0,414.0,0.0,1.0
59150663,12.0,427.0,71.0,427.0,0.16627634660421545,1.0
59150664,16.0,508.0,265.0,508.0,0.5216535433070866,1.0
59150665,11.0,456.0,227.0,456.0,0.49780701754385964,1.0
59150666,12.0,427.0,67.0,427.0,0.15690866510538642,1.0
59150667,11.0,436.0,374.0,436.0,0.8577981651376146,1.0
59150668,3.0,513.0,513.0,513.0,1.0,1.0
59150669,2.0,340.0,340.0,340.0,1.0,1.0
59150670,10.0,520.0,464.0,520.0,0.8923076923076924,1.0
59150671,7.0,523.0,304.0,523.0,0.5812619502868069,1.0
59150672,6.0,857.0,857.0,857.0,1.0,1.0
59150673,7.0,946.0,268.0,946.0,0.2832980972515856,1.0
59150674,8.0,549.0,549.0,549.0,1.0,1.0
59150675,8.0,613.0,478.0,613.0,0.7797716150081566,1.0
59150676,4.0,577.0,0.0,577.0,0.0,1.0
59150677,4.0,531.0,0.0,531.0,0.0,1.0
59150678,4.0,591.0,591.0,591.0,1.0,1.0
59150679,3.0,419.0,419.0,419.0,1.0,1.0
59150680,7.0,712.0,712.0,712.0,1.0,1.0
59150681,3.0,486.0,486.0,486.0,1.0,1.0
59150682,7.0,755.0,755.0,755.0,1.0,1.0
59150683,5.0,532.0,306.0,532.0,0.575187969924812,1.0
59150684,7.0,741.0,741.0,741.0,1.0,1.0
59150685,7.0,839.0,321.0,839.0,0.38259833134684146,1.0
59150686,3.0,365.0,365.0,365.0,1.0,1.0
59150687,4.0,443.0,0.0,443.0,0.0,1.0
59150688,3.0,528.0,0.0,528.0,0.0,1.0
59150689,4.0,450.0,154.0,450.0,0.3422222222222222,1.0
59150690,6.0,585.0,537.0,585.0,0.9179487179487179,1.0
59150691,5.0,498.0,498.0,498.0,1.0,1.0
59150692,4.0,589.0,245.0,589.0,0.4159592529711375,1.0
59150693,6.0,432.0,69.0,432.0,0.1597222222222222,1.0
59150694,4.0,482.0,0.0,482.0,0.0,1.0
59150695,4.0,560.0,560.0,560.0,1.0,1.0
59150696,2.0,534.0,0.0,265.0,0.0,0.49625468164794007
59150697,3.0,647.0,0.0,450.0,0.0,0.6955177743431221
59150698,4.0,559.0,97.0,559.0,0.1735241502683363,1.0
59150699,7.0,469.0,281.0,469.0,0.5991471215351812,1.0
59150700,5.0,479.0,479.0,479.0,1.0,1.0
59150701,5.0,576.0,576.0,576.0,1.0,1.0
59150702,2.0,451.0,451.0,451.0,1.0,1.0
59150703,3.0,444.0,155.0,444.0,0.3490990990990991,1.0
59150704,7.0,583.0,583.0,583.0,1.0,1.0
59150705,5.0,624.0,624.0,624.0,1.0,1.0
59150706,2.0,289.0,289.0,289.0,1.0,1.0
59150707,2.0,360.0,360.0,360.0,1.0,1.0
59150708,7.0,880.0,880.0,880.0,1.0,1.0
59150709,14.0,2457.0,1372.0,2457.0,0.5584045584045584,1.0
59150710,5.0,635.0,635.0,635.0,1.0,1.0
59150711,7.0,1102.0,1102.0,1102.0,1.0,1.0
59150712,3.0,553.0,553.0,553.0,1.0,1.0
59150713,4.0,481.0,481.0,481.0,1.0,1.0
59150714,1.0,245.0,245.0,245.0,1.0,1.0
59150715,2.0,451.0,451.0,451.0,1.0,1.0
59150716,2.0,418.0,418.0,418.0,1.0,1.0
59150717,2.0,351.0,351.0,351.0,1.0,1.0
59150718,2.0,529.0,529.0,529.0,1.0,1.0
59150719,2.0,447.0,447.0,447.0,1.0,1.0
59150720,1.0,545.0,545.0,545.0,1.0,1.0
59150721,2.0,479.0,479.0,479.0,1.0,1.0
59150722,2.0,484.0,484.0,484.0,1.0,1.0
59150723,3.0,444.0,444.0,444.0,1.0,1.0
59150724,4.0,457.0,334.0,457.0,0.7308533916849015,1.0
59150725,4.0,504.0,256.0,504.0,0.5079365079365079,1.0
59150726,4.0,518.0,518.0,518.0,1.0,1.0
