DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150953,339.9281,0.6342,4.2,50.0,2,1
59150954,412.4424,0.6342,4.2,50.0,2,1
59150955,318.7614,0.6342,4.2,50.0,2,1
59150956,287.6033,0.6342,4.2,100.0,1,1
59150957,,,,,0,0
59150958,,,,,0,0
59150959,,,,,0,0
59150960,593.617,0.7354,4.4,100.0,1,1
59150961,565.9229,0.7354,4.4,100.0,1,1
59150962,672.4891,0.6888,4.5,100.0,2,2
59150963,552.4752,0.7354,4.4,100.0,1,1
59150964,152.2124,0.8351,4.5,100.0,1,1
59150965,238.5321,0.8351,4.5,50.0,2,1
59150966,2218.8065,0.824,4.55,100.0,2,2
59150967,1963.8554,0.8129,4.6,100.0,1,1
59150968,2023.0496,0.8129,4.6,100.0,1,1
59150969,1998.2759,0.8129,4.6,50.0,2,1
59150970,35.503,,,0.0,1,0
59150971,555.7769,0.7354,4.4,100.0,1,1
59150972,0.0,,,0.0,1,0
59150973,1066.5635,0.771,4.5,50.0,2,1
59150974,1268.8766,0.771,4.5,50.0,2,1
59150975,1026.8256,0.771,4.5,100.0,1,1
59150976,1095.3895,0.771,4.5,100.0,1,1
59150977,856.9652,0.771,4.5,100.0,1,1
59150978,724.7059,0.6888,4.5,100.0,2,2
59150979,627.5395,0.7086,4.5,100.0,2,2
59150980,58.0,0.6421,4.6,100.0,1,1
59150981,562.0767,0.7752,4.4,100.0,1,1
59150982,1.5773,,,0.0,1,0
59150983,276.1905,0.5332,4.2,100.0,1,1
59150984,159.4203,0.6166,4.1,100.0,1,1
59150985,123.9936,0.6166,4.1,100.0,1,1
59150986,,,,,0,0
59150987,1035.2188,0.5854,4.2667,100.0,3,3
59151198,44.0613,,,0.0,1,0
59151199,51.9187,,,0.0,1,0
59151200,49.2424,,,0.0,2,0
59151201,60.4651,,,0.0,2,0
59151202,7.3529,,,0.0,1,0
59151203,557.6923,0.7444,4.4,50.0,2,1
59151204,4.7619,,,0.0,1,0
59151205,,,,,0,0
59151206,537.037,0.7444,4.4,50.0,2,1
59151207,41.3669,,,0.0,1,0
59151208,,,,,0,0
59151209,,,,,0,0
59151211,1403.7267,0.6472,4.3,100.0,2,2
59151213,,,,,0,0
59151214,635.8974,0.7856,4.4,100.0,1,1
59151215,682.5688,0.7856,4.4,100.0,1,1
59151216,557.7211,0.7856,4.4,100.0,1,1
59151217,930.0,0.7856,4.4,100.0,1,1
59151219,55.6845,,,0.0,1,0
59151220,,,,,0,0
59151221,,,,,0,0
59151222,,,,,0,0
